Unnamed: 0,date,day,hour_rounded,line_num,line_name,direction,alternative,agency_name,route_type,origin_city,origin_station,destination_city,destination_station,number_of_stops,route_length_km,departure_time_planned,arrival_time_planned,duration_min_planned,duration_min_actual,duration_difference_min,speed_kmh_planned,speed_kmh_actual,SIRI_id
71119,2024-01-10,Wednesday,5,8,מסוף אונברסיטת ת''א-תל אביב יפו<->מסוף הטייסים-תל אביב יפו-10,1.0,0,Dan,bus,תל אביב יפו,מסוף אונברסיטת ת''א,תל אביב יפו,מסוף הטייסים,42.0,13.57,05:07:00,05:56:59,50,62.0,12.0,16.3,13.1,59034537
18367,2024-01-08,Monday,9,72,ת. רכבת אוניברסיטה/איסוף-תל אביב יפו<->חניון אגד/דן שומרון-חולון-10,1.0,0,Dan,bus,תל אביב יפו,ת. רכבת אוניברסיטה/איסוף,חולון,חניון אגד/דן שומרון,37.0,15.179,09:30:00,10:22:00,52,62.0,10.0,17.5,14.7,58722901
92180,2024-01-11,Thursday,6,19,מסוף אבי האסירים-ראשון לציון<->מסוף כרמלית/הורדה-תל אביב יפו-10,1.0,0,Dan,bus,ראשון לציון,מסוף אבי האסירים,תל אביב יפו,מסוף כרמלית/הורדה,46.0,17.556,06:28:00,07:26:59,59,71.0,12.0,17.9,14.8,59159378
34981,2024-01-08,Monday,7,37,הרצל / טרומפלדור-יהוד מונוסון<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-20,2.0,0,Metropolin,bus,יהוד מונוסון,הרצל / טרומפלדור,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,36.0,15.153,07:00:00,07:35:51,36,60.0,24.0,25.3,15.2,58821445
42569,2024-01-08,Monday,13,281,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->מסוף הריביירה-אשדוד-2#,2.0,#,Electra_Afikim,bus,תל אביב יפו,ת. רכבת תל אביב- סבידור/רציפים A,אשדוד,מסוף הריביירה,36.0,42.029,13:50:00,14:54:06,64,90.0,26.0,39.4,28.0,58866010
71103,2024-01-10,Wednesday,5,91,השונית/יורדי ים-הרצליה<->מסוף הטייסים-תל אביב יפו-1#,1.0,#,Metropolin,bus,הרצליה,השונית/יורדי ים,תל אביב יפו,מסוף הטייסים,37.0,17.693,05:00:00,05:44:50,45,47.0,2.0,23.6,22.6,59034502
43338,2024-01-08,Monday,14,286,ת.מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->אוניברסיטת אריאל/כביש 31-אריאל-2#,2.0,#,Tnufa,bus,תל אביב יפו,ת.מרכזית תל אביב קומה 7/רציפים,אריאל,אוניברסיטת אריאל/כביש 31,49.0,48.704,14:30:00,15:47:59,78,121.0,43.0,37.5,24.2,58870794
30828,2024-01-08,Monday,3,96,ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו<->אזור מר. שפינוזה/פלמח-אזור-2#,2.0,#,Egged,bus,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,אזור,אזור מר. שפינוזה/פלמח,25.0,11.676,03:50:00,04:18:59,29,40.0,11.0,24.2,17.5,58798002
45151,2024-01-08,Monday,16,44,מסוף עתידים-תל אביב יפו<->מסוף הלוחמים/משרד הרישוי-תל אביב יפו-10,1.0,0,Dan,bus,תל אביב יפו,מסוף עתידים,תל אביב יפו,מסוף הלוחמים/משרד הרישוי,52.0,19.102,16:10:00,17:09:59,60,78.0,18.0,19.1,14.7,58882119
39610,2024-01-08,Monday,11,61,מסוף עמידר-רמת גן<->מסוף כרמלית/הורדה-תל אביב יפו-20,2.0,0,Dan,bus,רמת גן,מסוף עמידר,תל אביב יפו,מסוף כרמלית/הורדה,35.0,11.29,11:18:00,11:57:59,40,70.0,30.0,16.9,9.7,58848559
11792,2024-01-08,Monday,4,116,מסוף אונברסיטת ת''א-תל אביב יפו<->מסוף קרית אונו-קרית אונו-10,1.0,0,Dan,bus,תל אביב יפו,מסוף אונברסיטת ת''א,קרית אונו,מסוף קרית אונו,32.0,17.276,04:05:00,04:51:53,47,46.0,-1.0,22.1,22.5,58685508
12786,2024-01-08,Monday,4,7,בי''ח וולפסון-חולון<->ת. רכבת אוניברסיטה/הורדה-תל אביב יפו-20,2.0,0,Dan,bus,חולון,בי''ח וולפסון,תל אביב יפו,ת. רכבת אוניברסיטה/הורדה,50.0,16.333,04:50:00,05:42:00,52,59.0,7.0,18.8,16.6,58690522
96580,2024-01-11,Thursday,10,41,ת. מרכזית פ''ת/רציפים-פתח תקווה<->מסוף הלוחמים/משרד הרישוי-תל אביב יפו-10,1.0,0,Dan,bus,פתח תקווה,ת. מרכזית פ''ת/רציפים,תל אביב יפו,מסוף הלוחמים/משרד הרישוי,60.0,24.124,10:30:00,11:35:59,66,87.0,21.0,21.9,16.6,59185255
90636,2024-01-11,Thursday,5,142,מסוף בית העלמין/איסוף-בת ים<->מסוף עתידים-תל אביב יפו-20,2.0,0,Dan,bus,בת ים,מסוף בית העלמין/איסוף,תל אביב יפו,מסוף עתידים,56.0,18.498,05:17:00,06:17:59,61,101.0,40.0,18.2,11.0,59150164
72548,2024-01-10,Wednesday,6,156,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->שער ירושלים / 4313-באר יעקב-10,1.0,0,Kavim,bus,תל אביב יפו,ת.מרכזית תל אביב קומה 6/רציפים,באר יעקב,שער ירושלים / 4313,15.0,14.551,06:12:00,06:36:25,24,40.0,16.0,36.4,21.8,59043154
22803,2024-01-08,Monday,13,480,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->ת. רכבת תל אביב - סבידור/הורדה-תל אביב יפו-3#,3.0,#,Egged,bus,ירושלים,ת. מרכזית ירושלים קומה 3/רציפים,תל אביב יפו,ת. רכבת תל אביב - סבידור/הורדה,3.0,51.631,13:25:00,14:13:50,49,80.0,31.0,63.2,38.7,58749515
10102,2024-01-06,Saturday,20,72,חניון אגד/חורשת היובל-חולון<->ת. רכבת אוניברסיטה/הורדה-תל אביב יפו-20,2.0,0,Dan,bus,חולון,חניון אגד/חורשת היובל,תל אביב יפו,ת. רכבת אוניברסיטה/הורדה,41.0,14.753,20:55:00,21:42:59,48,50.0,2.0,18.4,17.7,58676723
75216,2024-01-10,Wednesday,8,54,מסוף עתידים-תל אביב יפו<->מסוף כרמלית/הורדה-תל אביב יפו-20,2.0,0,Dan,bus,תל אביב יפו,מסוף עתידים,תל אביב יפו,מסוף כרמלית/הורדה,41.0,14.379,08:27:00,09:17:46,51,78.0,27.0,16.9,11.1,59058998
33967,2024-01-08,Monday,6,160,ת.מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->הרב שלמה גורן/מבטחים-גבעת שמואל-10,1.0,0,Dan,bus,תל אביב יפו,ת.מרכזית תל אביב קומה 7/רציפים,גבעת שמואל,הרב שלמה גורן/מבטחים,44.0,14.226,06:05:00,06:56:15,51,42.0,-9.0,16.7,20.3,58815444
15803,2024-01-08,Monday,7,68,ת.מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->מסוף קרית אונו-קרית אונו-10,1.0,0,Metropolin,bus,תל אביב יפו,ת.מרכזית תל אביב קומה 7/רציפים,קרית אונו,מסוף קרית אונו,43.0,18.865,07:12:00,08:01:41,50,51.0,1.0,22.6,22.2,58708201
18216,2024-01-08,Monday,9,49,בית ספר בית יעקב/דרך מנחם בגין-פתח תקווה<->מסוף רדינג/הורדה-תל אביב יפו-10,1.0,0,Electra_Afikim,bus,פתח תקווה,בית ספר בית יעקב/דרך מנחם בגין,תל אביב יפו,מסוף רדינג/הורדה,52.0,21.112,09:20:00,10:19:46,60,65.0,5.0,21.1,19.5,58722060
8501,2024-01-06,Saturday,17,380,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->ת. רכבת תל אביב - סבידור/הורדה-תל אביב יפו-2#,2.0,#,Metropolin,bus,באר שבע,ת.מרכזית באר שבע/רציפים בינעירוני,תל אביב יפו,ת. רכבת תל אביב - סבידור/הורדה,4.0,93.392,17:00:00,18:21:40,82,84.0,2.0,68.3,66.7,58663456
5748,2024-01-05,Friday,10,88,מסוף קריית שרת-חולון<->יוסף לוי/הכובשים-תל אביב יפו-2#,2.0,#,Egged,bus,חולון,מסוף קריית שרת,תל אביב יפו,יוסף לוי/הכובשים,47.0,13.428,10:20:00,11:08:53,49,79.0,30.0,16.4,10.2,58639585
92952,2024-01-11,Thursday,7,54,מסוף כרמלית-תל אביב יפו<->מסוף עתידים-תל אביב יפו-10,1.0,0,Dan,bus,תל אביב יפו,מסוף כרמלית,תל אביב יפו,מסוף עתידים,44.0,14.351,07:10:00,07:58:58,49,77.0,28.0,17.6,11.2,59164043
82894,2024-01-10,Wednesday,15,19,מסוף אבי האסירים-ראשון לציון<->מסוף כרמלית/הורדה-תל אביב יפו-10,1.0,0,Dan,bus,ראשון לציון,מסוף אבי האסירים,תל אביב יפו,מסוף כרמלית/הורדה,46.0,17.556,15:28:00,16:26:59,59,90.0,31.0,17.9,11.7,59104503
46089,2024-01-08,Monday,17,142,מסוף עתידים-תל אביב יפו<->מסוף בית העלמין/הורדה-בת ים-10,1.0,0,Dan,bus,תל אביב יפו,מסוף עתידים,בת ים,מסוף בית העלמין/הורדה,54.0,18.168,17:10:00,18:09:36,60,80.0,20.0,18.2,13.6,58888300
20130,2024-01-08,Monday,11,4,תחנת מוניות תל אביב מסוף רדינג-תל אביב יפו<->תחנת מוניות תל אביב רכבת ההגנה-תל אביב יפו-2#,2.0,#,,Service_taxi,תל אביב יפו,תחנת מוניות תל אביב מסוף רדינג,תל אביב יפו,תחנת מוניות תל אביב רכבת ההגנה,2.0,4.947,11:00:00,11:25:33,26,44.0,18.0,11.4,6.7,58733232
8309,2024-01-06,Saturday,16,910,ת.מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->ת. מרכזית חוף הכרמל/הורדה-חיפה-1#,1.0,#,Egged,bus,תל אביב יפו,ת.מרכזית תל אביב קומה 7/רציפים,חיפה,ת. מרכזית חוף הכרמל/הורדה,23.0,84.845,16:45:00,18:10:43,86,98.0,12.0,59.2,51.9,58661873
57401,2024-01-09,Tuesday,9,142,מסוף עתידים-תל אביב יפו<->מסוף בית העלמין/הורדה-בת ים-10,1.0,0,Dan,bus,תל אביב יפו,מסוף עתידים,בת ים,מסוף בית העלמין/הורדה,54.0,18.168,09:52:00,10:51:36,60,21.0,-39.0,18.2,51.9,58953563
25283,2024-01-08,Monday,15,48,מסוף כרמלית/הכרמל-תל אביב יפו<->דפנה/התדהר-רעננה-2#,2.0,#,Metropolin,bus,תל אביב יפו,מסוף כרמלית/הכרמל,רעננה,דפנה/התדהר,60.0,23.815,15:25:00,16:44:58,80,100.0,20.0,17.9,14.3,58764772
10654,2024-01-06,Saturday,23,230,מסוף כרמלית/הכרמל-תל אביב יפו<->איזור התעשיה כפר סבא-כפר סבא-2#,2.0,#,Metropolin,bus,תל אביב יפו,מסוף כרמלית/הכרמל,כפר סבא,איזור התעשיה כפר סבא,59.0,30.255,23:00:00,00:36:31,97,62.0,-35.0,18.7,29.3,58680548
31837,2024-01-08,Monday,4,70,ת.רכבת תל אביב - סבידור/רציפים C-תל אביב יפו<->בי''ח שיב''א/שדרות אהרון קציר-רמת גן-10,1.0,0,Dan,bus,תל אביב יפו,ת.רכבת תל אביב - סבידור/רציפים C,רמת גן,בי''ח שיב''א/שדרות אהרון קציר,19.0,9.753,04:38:00,04:58:59,21,32.0,11.0,27.9,18.3,58803121
16824,2024-01-08,Monday,8,238,דרך מנחם בגין/קופת חולים-פתח תקווה<->מסוף כרמלית/הורדה-תל אביב יפו-10,1.0,0,Dan,bus,פתח תקווה,דרך מנחם בגין/קופת חולים,תל אביב יפו,מסוף כרמלית/הורדה,48.0,19.957,08:05:00,09:04:16,59,88.0,29.0,20.3,13.6,58714141
73566,2024-01-10,Wednesday,7,271,מסוף אונברסיטת ת''א-תל אביב יפו<->שדרות ירושלים/מפרץ שלמה-חולון-1#,1.0,#,Egged,bus,תל אביב יפו,מסוף אונברסיטת ת''א,חולון,שדרות ירושלים/מפרץ שלמה,41.0,16.841,07:05:00,07:51:59,47,76.0,29.0,21.5,13.3,59049318
21769,2024-01-08,Monday,12,5,משרד הרישוי/הלוחמים-חולון<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-20,2.0,0,Dan,bus,חולון,משרד הרישוי/הלוחמים,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,34.0,11.329,12:29:00,13:10:59,42,73.0,31.0,16.2,9.3,58743302
69247,2024-01-10,Wednesday,3,171,מסוף אזורי חן-תל אביב יפו<->חניון אגד/דן שומרון-חולון-1#,1.0,#,Egged,bus,תל אביב יפו,מסוף אזורי חן,חולון,חניון אגד/דן שומרון,41.0,18.291,03:40:00,04:32:59,53,54.0,1.0,20.7,20.3,59024880
105277,2024-01-11,Thursday,18,142,מסוף עתידים-תל אביב יפו<->מסוף בית העלמין/הורדה-בת ים-10,1.0,0,Dan,bus,תל אביב יפו,מסוף עתידים,בת ים,מסוף בית העלמין/הורדה,54.0,18.168,18:50:00,19:49:36,60,77.0,17.0,18.2,14.2,59240111
76761,2024-01-10,Wednesday,10,24,מסוף כרמלית/הכרמל-תל אביב יפו<->מסוף קדמה-רמת השרון-1#,1.0,#,Metropolin,bus,תל אביב יפו,מסוף כרמלית/הכרמל,רמת השרון,מסוף קדמה,56.0,19.678,10:00:00,11:06:59,67,96.0,29.0,17.6,12.3,59067783
8588,2024-01-06,Saturday,17,567,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->תחנה מרכזית כפ''ס/הורדה-כפר סבא-2#,2.0,#,Metropolin,bus,תל אביב יפו,ת.מרכזית תל אביב קומה 6/רציפים,כפר סבא,תחנה מרכזית כפ''ס/הורדה,26.0,21.012,17:20:00,18:00:58,41,49.0,8.0,30.7,25.7,58664186
58167,2024-01-09,Tuesday,10,289,חניון תמנע-חולון<->ת. רכבת אוניברסיטה/הורדה-תל אביב יפו-20,2.0,0,Dan,bus,חולון,חניון תמנע,תל אביב יפו,ת. רכבת אוניברסיטה/הורדה,54.0,20.539,10:50:00,11:57:43,68,70.0,2.0,18.1,17.6,58957735
13768,2024-01-08,Monday,5,25,מסוף אונברסיטת ת''א-תל אביב יפו<->חניון אגד/דן שומרון-חולון-10,1.0,0,Dan,bus,תל אביב יפו,מסוף אונברסיטת ת''א,חולון,חניון אגד/דן שומרון,62.0,20.05,05:32:00,06:40:59,69,81.0,12.0,17.4,14.9,58696162
104987,2024-01-11,Thursday,18,445,מסוף רדינג/רציפים-תל אביב יפו<->נתב''ג טרמינל 3/קומת תח''צ-נמל תעופה בן גוריון-10,1.0,0,Metropolin,bus,תל אביב יפו,מסוף רדינג/רציפים,נמל תעופה בן גוריון,נתב''ג טרמינל 3/קומת תח''צ,22.0,24.908,18:30:00,19:24:11,54,68.0,14.0,27.7,22.0,59238113
62060,2024-01-09,Tuesday,14,286,ת.מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->אוניברסיטת אריאל/כביש 31-אריאל-2#,2.0,#,Tnufa,bus,תל אביב יפו,ת.מרכזית תל אביב קומה 7/רציפים,אריאל,אוניברסיטת אריאל/כביש 31,49.0,48.704,14:00:00,15:17:59,78,125.0,47.0,37.5,23.4,58981105
73394,2024-01-10,Wednesday,6,51,ת. מרכזית פ''ת/רציפים-פתח תקווה<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-10,1.0,0,Dan,bus,פתח תקווה,ת. מרכזית פ''ת/רציפים,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,39.0,14.477,06:58:00,07:43:26,45,78.0,33.0,19.3,11.1,59048319
69600,2024-01-10,Wednesday,4,69,בי''ח שיב''א/שדרות אהרון קציר-רמת גן<->ת. רכבת תל אביב - סבידור/הורדה-תל אביב יפו-20,2.0,0,Metropolin,bus,רמת גן,בי''ח שיב''א/שדרות אהרון קציר,תל אביב יפו,ת. רכבת תל אביב - סבידור/הורדה,33.0,12.468,04:00:00,04:32:59,33,40.0,7.0,22.7,18.7,59026392
80737,2024-01-10,Wednesday,13,126,חניון חולון/תחנת מוצא-חולון<->מסוף אזורי חן-תל אביב יפו-1#,1.0,#,Metropolin,bus,חולון,חניון חולון/תחנת מוצא,תל אביב יפו,מסוף אזורי חן,52.0,18.813,13:30:00,14:30:59,61,126.0,65.0,18.5,9.0,59091919
26743,2024-01-08,Monday,17,33,איצטדיון וינטר-רמת גן<->מסוף רדינג/הורדה-תל אביב יפו-20,2.0,0,Dan,bus,רמת גן,איצטדיון וינטר,תל אביב יפו,מסוף רדינג/הורדה,41.0,14.839,17:05:00,18:01:00,56,54.0,-2.0,15.9,16.5,58774142
40669,2024-01-08,Monday,12,142,מסוף עתידים-תל אביב יפו<->מסוף בית העלמין/הורדה-בת ים-10,1.0,0,Dan,bus,תל אביב יפו,מסוף עתידים,בת ים,מסוף בית העלמין/הורדה,54.0,18.168,12:10:00,13:09:36,60,97.0,37.0,18.2,11.2,58855079
7230,2024-01-05,Friday,12,390,ת. מרכזית אילת/רציפים-אילת<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-2#,2.0,#,Egged,bus,אילת,ת. מרכזית אילת/רציפים,תל אביב יפו,ת.מרכזית תל אביב קומה 6/הורדה,39.0,314.822,12:00:00,16:26:33,267,247.0,-20.0,70.7,76.5,58650314
99610,2024-01-11,Thursday,13,114,ת.מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-10,1.0,0,Dan,bus,תל אביב יפו,ת.מרכזית תל אביב קומה 7/רציפים,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,17.0,14.301,13:10:00,14:07:41,58,74.0,16.0,14.8,11.6,59203999
37325,2024-01-08,Monday,9,271,מסוף קריית שרת-חולון<->קלצ'קין-תל אביב יפו-2#,2.0,#,Egged,bus,חולון,מסוף קריית שרת,תל אביב יפו,קלצ'קין,40.0,17.087,09:12:00,09:59:59,48,81.0,33.0,21.4,12.7,58834977
99648,2024-01-11,Thursday,13,66,הכובשים/דניאל-תל אביב יפו<->ת. מרכזית פ''ת/הורדה-פתח תקווה-20,2.0,0,Dan,bus,תל אביב יפו,הכובשים/דניאל,פתח תקווה,ת. מרכזית פ''ת/הורדה,43.0,15.787,13:11:00,14:04:20,53,119.0,66.0,17.9,8.0,59204243
97141,2024-01-11,Thursday,11,567,תחנה מרכזית כפ''ס/רציפים-כפר סבא<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,1.0,#,Metropolin,bus,כפר סבא,תחנה מרכזית כפ''ס/רציפים,תל אביב יפו,ת.מרכזית תל אביב קומה 6/הורדה,24.0,21.08,11:00:00,11:43:16,43,63.0,20.0,29.4,20.1,59188597
67011,2024-01-09,Tuesday,19,18,מסוף בית העלמין/איסוף-בת ים<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-20,2.0,0,Dan,bus,בת ים,מסוף בית העלמין/איסוף,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,42.0,13.175,19:11:00,19:56:56,46,52.0,6.0,17.2,15.2,59012541
39706,2024-01-08,Monday,11,45,ת. רכבת אוניברסיטה/איסוף-תל אביב יפו<->איצטדיון וינטר-רמת גן-10,1.0,0,Dan,bus,תל אביב יפו,ת. רכבת אוניברסיטה/איסוף,רמת גן,איצטדיון וינטר,34.0,11.963,11:24:00,12:02:51,39,65.0,26.0,18.4,11.0,58849186
1714,2024-01-05,Friday,5,826,ת.מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->חניון נוף הגליל-נוף הגליל-1#,1.0,#,Egged,bus,תל אביב יפו,ת.מרכזית תל אביב קומה 7/רציפים,נוף הגליל,חניון נוף הגליל,75.0,113.69,05:30:00,07:44:59,135,154.0,19.0,50.5,44.3,58612027
55035,2024-01-09,Tuesday,7,115,מסוף רדינג/רציפים-תל אביב יפו<->מסוף קרית אונו-קרית אונו-20,2.0,0,Metropolin,bus,תל אביב יפו,מסוף רדינג/רציפים,קרית אונו,מסוף קרית אונו,25.0,15.195,07:45:00,08:34:53,50,64.0,14.0,18.2,14.2,58940076
34863,2024-01-08,Monday,7,171,מסוף אזורי חן-תל אביב יפו<->חניון אגד/דן שומרון-חולון-1#,1.0,#,Egged,bus,תל אביב יפו,מסוף אזורי חן,חולון,חניון אגד/דן שומרון,41.0,18.291,07:00:00,07:52:59,53,78.0,25.0,20.7,14.1,58820739
50972,2024-01-09,Tuesday,4,7,בי''ח וולפסון-חולון<->יהודה המכבי/דרך נמיר-תל אביב יפו-25,2.0,5,Dan,bus,חולון,בי''ח וולפסון,תל אביב יפו,יהודה המכבי/דרך נמיר,35.0,11.158,04:30:00,05:08:58,39,55.0,16.0,17.2,12.2,58916286
11069,2024-01-08,Monday,3,650,המלכים/הגדוד העברי-נתניה<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,1.0,#,Metropolin,bus,נתניה,המלכים/הגדוד העברי,תל אביב יפו,ת.מרכזית תל אביב קומה 6/הורדה,31.0,35.844,03:20:00,04:11:43,52,64.0,12.0,41.4,33.6,58682132
53030,2024-01-09,Tuesday,5,500,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->מסוף שוהם-שוהם-22,2.0,2,Kavim,bus,תל אביב יפו,ת. רכבת תל אביב- סבידור/רציפים A,שוהם,מסוף שוהם,35.0,28.109,05:57:00,06:48:23,51,66.0,15.0,33.1,25.6,58928256
34259,2024-01-08,Monday,6,60,ת.מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->מסוף עמידר-רמת גן-10,1.0,0,Dan,bus,תל אביב יפו,ת.מרכזית תל אביב קומה 7/רציפים,רמת גן,מסוף עמידר,24.0,8.881,06:26:00,06:56:28,30,47.0,17.0,17.8,11.3,58817108
81627,2024-01-10,Wednesday,14,88,מסוף קריית שרת-חולון<->יוסף לוי/הכובשים-תל אביב יפו-2#,2.0,#,Egged,bus,חולון,מסוף קריית שרת,תל אביב יפו,יוסף לוי/הכובשים,47.0,13.428,14:05:00,14:53:53,49,91.0,42.0,16.4,8.9,59097036
7924,2024-01-06,Saturday,14,826,שדרות הבנים/נוף העמק-מגדל העמק<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-2ט,2.0,ט,Egged,bus,מגדל העמק,שדרות הבנים/נוף העמק,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,46.0,101.032,14:00:00,15:52:09,112,126.0,14.0,54.1,48.1,58659696
78039,2024-01-10,Wednesday,11,166,דרך מנחם בגין/קופת חולים-פתח תקווה<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-10,1.0,0,Dan,bus,פתח תקווה,דרך מנחם בגין/קופת חולים,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,33.0,18.308,11:10:00,11:54:16,44,55.0,11.0,25.0,20.0,59075516
26826,2024-01-08,Monday,17,66,ת. מרכזית פ''ת/רציפים-פתח תקווה<->מסוף כרמלית/הורדה-תל אביב יפו-10,1.0,0,Dan,bus,פתח תקווה,ת. מרכזית פ''ת/רציפים,תל אביב יפו,מסוף כרמלית/הורדה,42.0,15.464,17:14:00,18:03:06,49,72.0,23.0,18.9,12.9,58774663
9804,2024-01-06,Saturday,20,61,הכובשים/דניאל-תל אביב יפו<->מסוף עמידר-רמת גן-10,1.0,0,Dan,bus,תל אביב יפו,הכובשים/דניאל,רמת גן,מסוף עמידר,38.0,11.718,20:05:00,20:44:26,39,46.0,7.0,18.0,15.3,58674446
33113,2024-01-08,Monday,5,82,הכובשים/דניאל-תל אביב יפו<->בית רבקה-פתח תקווה-20,2.0,0,Dan,bus,תל אביב יפו,הכובשים/דניאל,פתח תקווה,בית רבקה,44.0,15.191,05:32:00,06:19:59,48,87.0,39.0,19.0,10.5,58810295
79952,2024-01-10,Wednesday,12,276,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->מרכז מסחרי/ גבעת ברנר-גבעת ברנר-1#,1.0,#,Egged,bus,תל אביב יפו,ת. רכבת תל אביב- סבידור/רציפים A,גבעת ברנר,מרכז מסחרי/ גבעת ברנר,31.0,30.517,12:02:00,12:58:45,57,44.0,-13.0,32.1,41.6,59087554
61412,2024-01-09,Tuesday,13,32,הרב שלמה גורן/מבטחים-גבעת שמואל<->מסוף עתידים-תל אביב יפו-20,2.0,0,Dan,bus,גבעת שמואל,הרב שלמה גורן/מבטחים,תל אביב יפו,מסוף עתידים,36.0,12.558,13:25:00,14:00:29,35,66.0,31.0,21.5,11.4,58977295
49682,2024-01-09,Tuesday,3,60,מסוף עמידר-רמת גן<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-20,2.0,0,Dan,bus,רמת גן,מסוף עמידר,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,23.0,8.623,03:20:00,03:49:20,29,33.0,4.0,17.8,15.7,58909970
20591,2024-01-08,Monday,11,63,הכובשים/דניאל-תל אביב יפו<->מסוף אלוף שדה-רמת גן-10,1.0,0,Dan,bus,תל אביב יפו,הכובשים/דניאל,רמת גן,מסוף אלוף שדה,31.0,10.573,11:31:00,12:12:59,42,64.0,22.0,15.1,9.9,58736079
43194,2024-01-08,Monday,14,71,קריית חינוך-תל אביב יפו<->דוד סחרוב/אברהם בר-ראשון לציון-1#,1.0,#,Egged,bus,תל אביב יפו,קריית חינוך,ראשון לציון,דוד סחרוב/אברהם בר,46.0,19.673,14:24:00,15:22:40,59,87.0,28.0,20.0,13.6,58869907
16100,2024-01-08,Monday,7,266,מסוף עתידים-תל אביב יפו<->בית רבקה-פתח תקווה-20,2.0,0,Dan,bus,תל אביב יפו,מסוף עתידים,פתח תקווה,בית רבקה,37.0,13.723,07:30:00,08:08:59,39,47.0,8.0,21.1,17.5,58709957
52717,2024-01-09,Tuesday,5,126,מסוף אזורי חן-תל אביב יפו<->חניון אגד/דן שומרון-חולון-2#,2.0,#,Metropolin,bus,תל אביב יפו,מסוף אזורי חן,חולון,חניון אגד/דן שומרון,53.0,18.392,05:42:00,06:44:08,62,94.0,32.0,17.8,11.7,58926372
57592,2024-01-09,Tuesday,10,258,בית העלמין-ראש העין<->ת. רכבת אוניברסיטה/הורדה-תל אביב יפו-10,1.0,0,Electra_Afikim,bus,ראש העין,בית העלמין,תל אביב יפו,ת. רכבת אוניברסיטה/הורדה,45.0,28.221,10:00:00,10:57:59,58,17.0,-41.0,29.2,99.6,58954549
9481,2024-01-06,Saturday,19,634,מסוף עתידים-תל אביב יפו<->קידמה/התמדה-חריש-20,2.0,0,Kavim,bus,תל אביב יפו,מסוף עתידים,חריש,קידמה/התמדה,43.0,61.082,19:15:00,20:40:03,85,101.0,16.0,43.1,36.3,58671745
1370,2024-01-05,Friday,5,194,ת. רכבת הראשונים-ראשון לציון<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-2#,2.0,#,Egged,bus,ראשון לציון,ת. רכבת הראשונים,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,27.0,21.268,05:00:00,05:49:00,49,36.0,-13.0,26.0,35.4,58609695
5488,2024-01-05,Friday,10,66,ת. מרכזית פ''ת/רציפים-פתח תקווה<->מסוף כרמלית/הורדה-תל אביב יפו-10,1.0,0,Dan,bus,פתח תקווה,ת. מרכזית פ''ת/רציפים,תל אביב יפו,מסוף כרמלית/הורדה,42.0,15.464,10:01:00,10:50:06,49,95.0,46.0,18.9,9.8,58637503
